ID,Q1_SSC_GPA,Q2_Secondary_School_Name,EIIN,Q3_School_Location,A1_Gender,A2_Home_Location,A3_Group_Type,A4_Medium_of_Education,B1_Monthly_Family_Income,B2_Father_Education,B3_Mother_Education,B4_Father_Occupation,B5_Received_Stipend,B6_Quiet_Study_Place_At_Home,C1_Class_Attendance_Rate,C2_Daily_Self_Study_Hours,C3_Repeated_Any_Class,C4_Regular_Homework_Completion,D1_Private_Tutor_At_Home,D2_Attended_Coaching_Center,D3_Used_Suggestion_Or_Guide_Books,D4_Extra_Classes_At_School,E0_Owned_Smartphone,E1_Internet_Access,E2_Daily_Internet_Usage_Hours,E3_Social_Media_Account,E4_Primary_Purpose_of_Internet,F1_School_Lab_Facility,F2_School_Library_Facility,F3_Departmental_Teacher_Count,F4_Class_Student_Count,G1_Understand_Difficult_Subjects,G2_Confidence_In_Core_Concepts,G3_Master_School_Skills,G4_Perform_Better_Than_Peers,G5_Confidence_In_Exam_Questions,G6_Nervous_Forget_Concepts,G7_Anxious_Insomnia_Before_Exam,G8_Anxious_Under_Pressure_Despite_Studying,G9_Peaceful_During_Exam,G10_Parents_Encouraged_Hard_Work,G11_Family_Interested_In_Progress,G12_Parents_Provided_Study_Materials,G13_Family_Discussed_School_Progress,Appeared,Passed,Pass rate,GPA_5,GPA_%,Appeared_numeric,Passed_numeric,Pass rate_numeric,GPA_%_numeric,Calculated_pass_rate,Pass_rate_difference,Calculated_GPA5_percentage,Calculated_pass_rate_check,Pass_rate_difference_check,G1_Understand_Difficult_Subjects_score,G2_Confidence_In_Core_Concepts_score,G3_Master_School_Skills_score,G4_Perform_Better_Than_Peers_score,G5_Confidence_In_Exam_Questions_score,G6_Nervous_Forget_Concepts_score,G7_Anxious_Insomnia_Before_Exam_score,G8_Anxious_Under_Pressure_Despite_Studying_score,G9_Peaceful_During_Exam_score,G10_Parents_Encouraged_Hard_Work_score,G11_Family_Interested_In_Progress_score,G12_Parents_Provided_Study_Materials_score,G13_Family_Discussed_School_Progress_score,G9_Peaceful_During_Exam_reverse,Academic_Self_Efficacy_Score,Exam_Anxiety_Score,Family_Academic_Support_Score,Target_numeric
123,Below 3.00,Mouchak Model School,138819,Town/City (Urban),Female,Urban Area,Commerce,Bangla Medium,Above 40000 TK,Higher Secondary (HSC) or Above,Primary,Business / Self-employed,No,Yes,Below 60%,Less than 2 Hours,No,Sometimes,Yes,No,Yes,No,No,No,Never_Use,No,Never_USe,Not Available,Available,3,31,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,54,38,70%,1,3%,54.0,38.0,70.0,3.0,70.37037037037037,-0.3703703703703667,2.631578947368421,70.37037037037037,-0.3703703703703667,4,4,4,4,4,3,3,4,4,4,4,4,3,2,4.0,3.0,3.75,0
124,4.50 - 5.00,Mouchak Scout High School And College,109074,Town/City (Urban),Male,Urban Area,Science,Bangla Medium,Above 40000 TK,Higher Secondary (HSC) or Above,Secondary (SSC or Below),Business / Self-employed,No,Yes,75% or Above,More than 4 Hours,No,Always,Yes,No,Yes,No,Yes,Yes,2 - 4 Hours,Yes,Both Equally,Not Available,Available,8,80,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Neutral,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,4,2,3,3,3,3,2,2,1,4,4,4,3,5,3.0,3.0,3.75,2
125,4.50 - 5.00,Mouchak Scout High School And College,109074,Town/City (Urban),Male,Urban Area,Commerce,Bangla Medium,Above 40000 TK,Primary,Primary,Job (Government or Private),Yes,Yes,75% or Above,More than 4 Hours,No,Always,No,Yes,Yes,Yes,Yes,Yes,2 - 4 Hours,Yes,Both Equally,Not Available,Available,5,50,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,4,4,4,3,4,5,5,5,1,4,5,4,4,5,3.8,5.0,4.25,2
126,3.00 - 4.49,Mouchak Scout High School And College,109074,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Job (Government or Private),No,Yes,75% or Above,2 - 4 Hours,No,Sometimes,Yes,No,Yes,Yes,No,Yes,2 - 4 Hours,No,Both Equally,Not Available,Available,8,80,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,4,4,4,2,5,5,2,4,4,4,5,5,3,2,3.8,3.25,4.25,1
127,3.00 - 4.49,Mouchak Scout High School And College,109074,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Primary,Secondary (SSC or Below),Others,No,Yes,75% or Above,2 - 4 Hours,No,Sometimes,No,No,Yes,No,Yes,Yes,Less than 2 Hours,Yes,Both Equally,Not Available,Available,8,80,Agree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,4,3,3,2,5,1,3,4,4,5,5,4,4,2,3.4,2.5,4.5,1
128,3.00 - 4.49,Mouchak Scout High School And College,109074,Town/City (Urban),Male,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Job (Government or Private),No,Yes,60% - 75%,2 - 4 Hours,Yes,Sometimes,Yes,No,No,No,Yes,Yes,2 - 4 Hours,Yes,Social Media / Entertainment,Not Available,Available,8,80,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,3,3,3,3,3,5,5,5,3,4,4,4,4,3,3.0,4.5,4.0,1
129,3.00 - 4.49,Mouchak Scout High School And College,109074,Town/City (Urban),Male,Urban Area,Science,Bangla Medium,Above 40000 TK,Higher Secondary (HSC) or Above,Secondary (SSC or Below),Job (Government or Private),No,Yes,60% - 75%,2 - 4 Hours,Yes,Sometimes,Yes,No,Yes,No,Yes,Yes,2 - 4 Hours,Yes,Social Media / Entertainment,Not Available,Available,8,80,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,3,3,3,3,3,5,5,5,3,4,4,4,4,3,3.0,4.5,4.0,1
130,3.00 - 4.49,Mouchak Scout High School And College,109074,Town/City (Urban),Female,Urban Area,Commerce,Bangla Medium,15000 - 40000 TK,Primary,Primary,Business / Self-employed,No,Yes,60% - 75%,2 - 4 Hours,No,Sometimes,No,Yes,Yes,No,Yes,Yes,Less than 2 Hours,No,Both Equally,Not Available,Available,5,50,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,4,4,4,4,4,5,5,4,4,5,4,4,4,2,4.0,4.0,4.25,1
131,4.50 - 5.00,Mouchak Scout High School And College,109074,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,Above 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Job (Government or Private),No,Yes,75% or Above,More than 4 Hours,No,Always,Yes,No,Yes,No,No,Yes,Less than 2 Hours,No,Studying / Educational Content,Not Available,Available,8,80,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,5,5,5,5,5,3,3,3,3,5,5,5,5,3,5.0,3.0,5.0,2
132,Below 3.00,Mouchak Scout High School And College,109074,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Unemployed,No,Yes,75% or Above,Less than 2 Hours,No,Very Low / Rarely,Yes,No,Yes,No,No,Yes,Less than 2 Hours,Yes,Social Media / Entertainment,Not Available,Available,8,80,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4.0,3.75,4.0,0
133,3.00 - 4.49,Mouchak Scout High School And College,109074,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Higher Secondary (HSC) or Above,Secondary (SSC or Below),Job (Government or Private),No,Yes,60% - 75%,2 - 4 Hours,No,Sometimes,Yes,No,Yes,No,No,Yes,Less than 2 Hours,Yes,Both Equally,Not Available,Available,8,80,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4.0,4.0,4.0,1
134,4.50 - 5.00,Mouchak Scout High School And College,109074,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Business / Self-employed,No,Yes,75% or Above,More than 4 Hours,No,Always,Yes,No,Yes,No,No,Yes,2 - 4 Hours,No,Studying / Educational Content,Not Available,Available,8,80,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,4,4,4,4,4,3,3,3,4,5,4,5,5,2,4.0,2.75,4.75,2
135,3.00 - 4.49,Mouchak Scout High School And College,109074,Town/City (Urban),Male,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Job (Government or Private),No,Yes,60% - 75%,Less than 2 Hours,No,Always,No,No,Yes,No,Yes,Yes,2 - 4 Hours,Yes,Both Equally,Not Available,Available,8,80,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,4,4,4,4,4,3,4,3,4,4,4,4,4,2,4.0,3.0,4.0,1
136,3.00 - 4.49,Mouchak Scout High School And College,109074,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,Above 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Business / Self-employed,No,Yes,60% - 75%,2 - 4 Hours,No,Sometimes,Yes,No,Yes,No,Yes,Yes,2 - 4 Hours,Yes,Both Equally,Not Available,Available,8,80,Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,4,5,4,2,3,4,5,5,1,5,5,5,4,5,3.6,4.75,4.75,1
137,4.50 - 5.00,Mouchak Scout High School And College,109074,Town/City (Urban),Male,Urban Area,Science,Bangla Medium,Above 40000 TK,Higher Secondary (HSC) or Above,Secondary (SSC or Below),Job (Government or Private),Yes,Yes,75% or Above,More than 4 Hours,No,Always,No,No,Yes,Yes,Yes,Yes,More than 4 Hours,Yes,Both Equally,Not Available,Available,8,80,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,5,5,4,4,4,3,2,3,3,3,4,4,3,3,4.4,2.75,3.5,2
138,3.00 - 4.49,Mouchak Scout High School And College,109074,Town/City (Urban),Female,Urban Area,Commerce,Bangla Medium,Above 40000 TK,Secondary (SSC or Below),No Institutional Education,Business / Self-employed,No,Yes,60% - 75%,2 - 4 Hours,No,Always,Yes,No,Yes,No,No,Yes,Less than 2 Hours,Yes,Studying / Educational Content,Not Available,Available,5,50,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,4,4,4,4,3,2,3,2,2,5,4,4,5,4,3.8,2.75,4.5,1
139,Below 3.00,Mouchak Scout High School And College,109074,Town/City (Urban),Female,Urban Area,Commerce,Bangla Medium,15000 - 40000 TK,Primary,Secondary (SSC or Below),Business / Self-employed,No,Yes,Below 60%,2 - 4 Hours,No,Sometimes,No,No,Yes,Yes,No,Yes,Less than 2 Hours,No,Both Equally,Not Available,Available,5,50,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,4,4,4,4,3,4,4,4,4,4,4,4,4,2,3.8,3.5,4.0,0
140,4.50 - 5.00,Mouchak Scout High School And College,109074,Town/City (Urban),Male,Rural Area,Science,Bangla Medium,15000 - 40000 TK,No Institutional Education,Primary,Agriculture,No,No,75% or Above,More than 4 Hours,Yes,Always,No,Yes,Yes,Yes,No,Yes,Less than 2 Hours,Yes,Studying / Educational Content,Not Available,Available,8,80,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,4,4,4,4,4,4,2,4,4,4,4,5,2,2,4.0,3.0,3.75,2
141,4.50 - 5.00,Mouchak Scout High School And College,109074,Town/City (Urban),Male,Rural Area,Science,Bangla Medium,15000 - 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Job (Government or Private),No,Yes,75% or Above,More than 4 Hours,No,Always,No,Yes,Yes,Yes,No,Yes,2 - 4 Hours,Yes,Both Equally,Not Available,Available,8,80,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,5,4,4,4,4,4,4,2,4,4,5,5,5,2,4.2,3.0,4.75,2
142,4.50 - 5.00,Mouchak Scout High School And College,109074,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Job (Government or Private),No,Yes,Below 60%,More than 4 Hours,No,Always,Yes,No,Yes,Yes,No,Yes,More than 4 Hours,Yes,Social Media / Entertainment,Not Available,Available,8,80,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,4,4,4,4,4,2,2,4,1,4,4,4,4,5,4.0,3.25,4.0,2
143,3.00 - 4.49,Mouchak Scout High School And College,109074,Town/City (Urban),Female,Urban Area,Commerce,Bangla Medium,15000 - 40000 TK,No Institutional Education,Secondary (SSC or Below),Business / Self-employed,No,Yes,60% - 75%,2 - 4 Hours,No,Sometimes,Yes,No,Yes,Yes,No,Yes,2 - 4 Hours,Yes,Both Equally,Not Available,Available,5,50,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,5,5,5,5,5,1,1,1,5,5,5,5,5,1,5.0,1.0,5.0,1
144,3.00 - 4.49,Mouchak Scout High School And College,109074,Town/City (Urban),Male,Urban Area,Arts (Humanities),Bangla Medium,Above 40000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Business / Self-employed,No,Yes,60% - 75%,2 - 4 Hours,No,Sometimes,Yes,No,Yes,Yes,No,Yes,2 - 4 Hours,Yes,Social Media / Entertainment,Not Available,Available,7,90,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,5,4,4,4,4,4,3,4,5,5,4,4,2,1,4.2,3.0,3.75,1
145,3.00 - 4.49,Mouchak Scout High School And College,109074,Town/City (Urban),Male,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Primary,Job (Government or Private),No,Yes,60% - 75%,2 - 4 Hours,No,Sometimes,No,No,Yes,Yes,Yes,Yes,Less than 2 Hours,Yes,Social Media / Entertainment,Not Available,Available,8,80,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,4,4,3,4,4,4,4,4,4,4,4,4,4,2,3.8,3.5,4.0,1
146,Below 3.00,Mouchak Scout High School And College,109074,Town/City (Urban),Female,Urban Area,Commerce,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),No Institutional Education,Job (Government or Private),No,Yes,Below 60%,Less than 2 Hours,No,Sometimes,Yes,No,Yes,Yes,Yes,Yes,2 - 4 Hours,Yes,Social Media / Entertainment,Not Available,Available,5,50,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,3,3,3,3,2,4,4,4,2,4,4,4,3,4,2.8,4.0,3.75,0
147,3.00 - 4.49,Mouchak Scout High School And College,109074,Town/City (Urban),Male,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Higher Secondary (HSC) or Above,Job (Government or Private),No,Yes,60% - 75%,2 - 4 Hours,No,Sometimes,No,Yes,Yes,Yes,No,Yes,2 - 4 Hours,Yes,Social Media / Entertainment,Not Available,Available,8,80,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,3,3,3,2,4,4,4,4,2,4,4,4,4,4,3.0,4.0,4.0,1
148,Below 3.00,Mouchak Scout High School And College,109074,Town/City (Urban),Female,Urban Area,Commerce,Bangla Medium,Below 15000 TK,Secondary (SSC or Below),Primary,Business / Self-employed,No,Yes,Below 60%,Less than 2 Hours,Yes,Sometimes,Yes,No,Yes,Yes,No,No,Never_Use,No,Never_USe,Not Available,Available,5,50,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,3,3,2,3,4,4,4,4,2,4,4,4,4,4,3.0,4.0,4.0,0
149,3.00 - 4.49,Mouchak Scout High School And College,109074,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Business / Self-employed,No,Yes,60% - 75%,2 - 4 Hours,No,Sometimes,No,Yes,Yes,Yes,Yes,Yes,2 - 4 Hours,Yes,Social Media / Entertainment,Not Available,Available,8,80,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4.0,3.0,4.0,1
150,4.50 - 5.00,Mouchak Scout High School And College,109074,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Job (Government or Private),No,Yes,75% or Above,More than 4 Hours,No,Always,Yes,No,Yes,Yes,No,No,Never_Use,No,Never_USe,Not Available,Available,8,80,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,5,5,5,5,5,3,2,2,5,5,5,5,5,1,5.0,2.0,5.0,2
151,4.50 - 5.00,Mouchak Scout High School And College,109074,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Job (Government or Private),No,Yes,75% or Above,More than 4 Hours,No,Always,Yes,No,Yes,Yes,No,Yes,Less than 2 Hours,Yes,Studying / Educational Content,Not Available,Available,8,80,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,132,117,89%,17,14%,132.0,117.0,89.0,14.0,88.63636363636364,0.36363636363635976,14.529914529914532,88.63636363636364,0.36363636363635976,5,5,5,5,4,3,2,2,5,5,5,5,5,1,4.8,2.0,5.0,2
152,3.00 - 4.49,BKSP Public School & College,108426,Town/City (Urban),Female,Urban Area,Commerce,Bangla Medium,Above 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Business / Self-employed,No,Yes,60% - 75%,Less than 2 Hours,No,Sometimes,Yes,No,Yes,No,No,No,Never_Use,No,Never_USe,Not Available,Available,4,76,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,163,156,96%,36,24%,163.0,156.0,96.0,24.0,95.70552147239265,0.29447852760735316,23.076923076923077,95.70552147239265,0.29447852760735316,4,4,4,3,4,5,2,5,4,4,4,4,5,2,3.8,3.5,4.25,1
153,3.00 - 4.49,BKSP Public School & College,108426,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,Above 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Job (Government or Private),No,Yes,Below 60%,2 - 4 Hours,No,Very Low / Rarely,Yes,No,Yes,No,No,Yes,Less than 2 Hours,Yes,Studying / Educational Content,Not Available,Available,7,52,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,163,156,96%,36,24%,163.0,156.0,96.0,24.0,95.70552147239265,0.29447852760735316,23.076923076923077,95.70552147239265,0.29447852760735316,5,5,3,3,4,3,3,4,4,4,4,4,5,2,4.0,3.0,4.25,1
154,3.00 - 4.49,BKSP Public School & College,108426,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,Above 40000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Business / Self-employed,Yes,Yes,60% - 75%,2 - 4 Hours,No,Sometimes,No,No,Yes,No,Yes,Yes,2 - 4 Hours,Yes,Studying / Educational Content,Not Available,Available,7,52,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,163,156,96%,36,24%,163.0,156.0,96.0,24.0,95.70552147239265,0.29447852760735316,23.076923076923077,95.70552147239265,0.29447852760735316,3,2,2,3,3,4,4,4,2,4,4,4,4,4,2.6,4.0,4.0,1
155,3.00 - 4.49,Zenith P L Model School,138831,Town/City (Urban),Male,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Higher Secondary (HSC) or Above,Primary,Job (Government or Private),No,Yes,60% - 75%,2 - 4 Hours,No,Sometimes,No,No,Yes,No,No,Yes,2 - 4 Hours,No,Social Media / Entertainment,Not Available,Available,5,75,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,66,56,85%,12,22%,66.0,56.0,85.0,22.0,84.84848484848484,0.15151515151515582,21.428571428571427,84.84848484848484,0.15151515151515582,3,3,3,3,2,5,5,3,3,4,3,2,2,3,2.8,4.0,2.75,1
156,3.00 - 4.49,Zenith P L Model School,138831,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Job (Government or Private),No,Yes,60% - 75%,2 - 4 Hours,No,Sometimes,No,No,Yes,No,No,No,More than 4 Hours,No,Social Media / Entertainment,Not Available,Available,5,75,Disagree,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,66,56,85%,12,22%,66.0,56.0,85.0,22.0,84.84848484848484,0.15151515151515582,21.428571428571427,84.84848484848484,0.15151515151515582,2,2,3,2,3,5,4,4,3,4,4,5,3,3,2.4,4.0,4.0,1
157,3.00 - 4.49,Zenith P L Model School,138831,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Others,No,Yes,60% - 75%,Less than 2 Hours,No,Sometimes,No,No,Yes,No,Yes,Yes,2 - 4 Hours,Yes,Social Media / Entertainment,Not Available,Available,5,75,Neutral,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Neutral,Agree,Agree,66,56,85%,12,22%,66.0,56.0,85.0,22.0,84.84848484848484,0.15151515151515582,21.428571428571427,84.84848484848484,0.15151515151515582,3,2,3,2,2,5,4,5,2,4,3,4,4,4,2.4,4.5,3.75,1
